KOG0619,7,4,Q8GYK0;Q0WL06;F4K682;O48705;O80809;Q5G5E0;Q9SSD1;Q9SFG3;Q9SKK2;Q9C6A7;Q9SVM5;Q8W4Q3;Q1PEN0;O49325;O64566;Q9SSM0;Q9LQ21;Q9SRL2;Q9FH86;Q9SJH6;O49327;Q9LRX1;Q9XID2;Q9FH56;O64757;Q9LS80;Q6Q4D0;F4HT77;Q9LJS2;Q5PP26;Q9C906;Q6NQP4;Q9LT39;Q8VYG9;Q70CT4;Q9LS79;Q9FHL8;Q9LJK6;O49328;F4HR92;Q9C6A6;Q9M9X0;Q9LXU5;Q9FFJ3;Q9C6A8;Q9C637;Q9SVW8;Q7FZR1;Q9ZT98;Q93YT3;F4HV48;Q00874;Q5G5D8;Q0WN16;Q9S9U3;Q9FW48;Q8RWE5;Q9FPJ5;O48763;Q9LP24;Q9ZUK3;O81455;Q9SRL7;Q9M2Y3;Q9CA41;Q0WVH1;Q8VZG8;Q9FW47;Q9FW49;Q9LRW9;Q9LRV8;Q9FL15;Q9M1B6;Q9SHI3;Q9C9H6;Q0WR58;Q9C9H7;Q9MA83;Q9SGN1;O48849;Q9SHU4;P0C895;Q9FJ11;Q9M9X1;Q9M0H5;Q8RX63;F4IHG3;Q8GZ49;Q8RWI2;Q9FLK9;Q9LJS0;Q9LUN3;Q9SN38;Q8RXQ6;O49329;Q9SHI4;Q0WRZ8;Q9C611;Q9SVN2;Q9C699;Q9LI76;Q9FK66;Q9SKK5;Q9LJW7,ZERO,G5EG78;G5EFP4;Q93373;Q93377;Q18902;Q9U3A0;Q09564;Q22075;P90920;Q23580;Q22187;Q1ENI8;O01764;Q9N4Z5;Q9N5D7;Q93177;Q7JPD6;Q93539;Q9N3F2;Q9XW74;Q9TZM3;O61967;O02329,G5EG78,Q8SXT3;Q9VJ07;Q9W2D7;Q9VR83;Q7JWP9;A0A0B4KHY2;Q9VZ84;Q9VKX6;Q8IH19;Q9VJQ0;Q95S21;Q9V430;Q9VJN8;Q9VQS3;X2JJX6;Q7KV24;Q9VHV2;Q9VBR3;A0A0B4KHK5;Q9W2J7;Q9VT89;Q6NR19;Q7JPR9;Q7JXU8;Q24386;Q0KHN6;Q9VDD5;A0A0B4LGB0;Q7K2X5;M9PFH7;Q9VDD4;Q9VAD1;Q5U1A7;Q9W3T9;A0A0B4KFU1;Q7KT58;Q9VBP0;Q6AWM0;Q9W128;X2JCD3;Q9VEH4;Q9W266;Q86PM1;M9MSI4;Q9VT44;Q2XY26;Q9V9V6;Q9VV09;Q8T3J2;Q9VK22;Q9VHV3;B6IDK2;Q9VZZ4;Q9W2U2;Q9BN18;Q8SZV5;D0IQL1;X2J6K6;Q9VE49,Q9VZZ4,E7FC34;F1QG51;F1QG52;I3ITI1;F1RE98;B8JKF3;F1R0N0;B8JIB3;F1R616;E7F6K4;Q1LXA7;H9GY03;E9QIH3;B0S5R7;B8A5X5;F1Q9H7;F1QCS9;E7EXY6;I3IS38;F1Q6F4;F1QPU8;E7F5U2;F1Q8K6;Q6GMI5;F1QPB1;F1R2G2;A8DZ86;E7FDN5;H9GYJ3;E7F9S2;E7F333;I7HJH4;M9MM99;E7EXM1;F1QHX4;A2BIH6;E7FFN8;F1QJU2;Q66HV9;F1RET9;F1R2H9;F1QRY7;F1QX89;F1R770;F1QBH8;Q1LV51;E7FF15;Q1L8Y7;F1Q7R2;E7F0F5;A4QNV9;E7F7W3;F1Q7V7;E9QF02;E7F965;Q15JE7;E7FBM0;F8W4D7;F1QFI1;F1R6B0;Q1ED19;F1QKB4;Q5RI43;F1QJY2;B8A5X4;B8JIN1;G1K2U4;F1R1Q4;F8W5N7;B0S5X0;A0JMK3;F1QJL6;E9QJJ1;E7F2A9;F1QGN1;F1Q881;F1QLW6;F1QRB0;F1QFS7;F1QR37;B8JLP1;E7FB87;F6P621;B8JKM0;A2CF42;Q6DHL5;F1Q983;Q5RI45;B3DK88;E7F3W2;B0R160;F1Q809;F1R0V0;E7FE43;F1QCU7;F1QA76;F6NL91;F1R6I3;A3KH16;E7FBW4;E7FEH0;E7FB32;E7FDK4;E7FBY6;F1QLS2;E7EZ70;E7FB25;Q5RHE5;F1R6G3;E9QCF6;B0S8K3;A5WVM1;F1Q7W4;E7F813;F1QK21;F1QVN0;F1QNH9;E7F1H8;E7FFB2;E7FE13;F1R8Q8;E7FB24;A2BF98;F1QVP4;A8BBJ2;Q4H4B6;F1RDG1;F1R478;E7EXH9;F1R2S9;F1QT78;E7EZ83;B0S5B5;F1Q726;F1RDW2;F1Q661;H9GZ54;A9JRH0;E7EXN8;E7FDP8;E7FC40;H9GXC4;E7FCW6;F1QY29,F1R6G3,A0A024R2R5;A0A024R4I8;A0A024R5I6;A0A024R5J7;A0A024R5J8;A0A024R870;A0A024R892;A0A024R971;A0A024R993;A0A024R9M3;A0A024RBC3;A0A0A8K8C7;A4D0T1;A4D1F6;A6NDA9;A6NIK2;A6NIV6;A6NM36;A6NM62;A8K0R3;Q86UN3;P14770;Q6WRI0;Q6P2D8;Q9BXN1;Q6NSJ5;P02750;Q8TDW0;Q9H756;Q7L1W4;P13224;Q9UFC0;Q96PE1;Q9HBL6;Q86YC3;Q6PEZ8;Q9HB75;Q9BTN0;Q50LG9;Q99983;Q8N7C0;Q9BZR6;Q6UXM1;Q6FH10;O43300;Q8N967;Q9P2V4;Q86VH4;Q6ZNQ3;P22792;P51888;Q13641;Q9P244;Q6UXK5;Q8WXD0;P23515;Q6P9F7;P07359;Q9ULH4;O14498;P21810;Q86UE6;Q9HBW1;Q5VT99;Q86VH5;Q8N6Y2;Q86X40;Q96CX6;O94769;Q96L50;Q9HCJ2;Q6UY18;Q7L985;Q9BXB1;Q68CR7;O60938;P51884;Q8IWK6;Q7Z5L7;Q9Y2L9;Q9UBM4;P35858;Q6EMK4;Q8N456;Q9Y4C4;Q8WUT4;Q5JU00;Q7Z2Q7;Q96DD0;Q96FE5;O60346;Q96NI6;Q38SD2;Q9HBX8;Q5BKY1;Q9UQ13;Q6UXK2;Q2I0M4;Q6ZSA7;Q9HBX9;J3KQU2;Q6NUI6;Q9NR99;Q86UN2;O15335;Q86SQ6,P21810;O94769;P51884;Q6NUI6,Q08817;P08678,ZERO,P14605;O94294,ZERO
KOG1623,5,1,Q9LUR4;Q9SW25;Q9FM10;Q9FGQ2;Q9C9M9;O82587;Q8L9J7;Q9LUE3;Q8LBF7;Q84WN3;Q944M5;Q6NQN5;Q9LH79;Q8LFH5;Q9FY94;Q9ZV02;Q9SMM5,Q8LFH5,O16448;Q9XX26;O44620;Q17757,ZERO,A0A0B4LET7;Q9VUN8,ZERO,Q5EB14,ZERO,Q9BRV3,ZERO,NONE,NONE,NONE,NONE
KOG4280,5,1,Q27IK6;Q27IK7;Q9LDN0;Q8L7Y8;Q9LJY3;Q9LXV6,ZERO,P46873;Q21441,ZERO,A0A0B4LFQ8;Q9V4A1;X2J924,ZERO,F1QYE9;F1QCX2;E7EYN1;E7FFQ3;F1QV34;E7F4J1;E7FCT0;F1QP72;F1QWH7;E7FDX9,ZERO,B1ALC3;Q2KJY2;Q9NS87;Q9P2E2;Q9Y496;Q9HAQ2;Q9ULI4;Q6ZMV9,Q9HAQ2,NONE,NONE,NONE,NONE
KOG0443,5,1,O65570;O81645;Q2V445;Q9LVC6;O81644,ZERO,Q21253,ZERO,Q07171;Q23989,ZERO,A0JMJ1;A5PMZ3;E7FC92;F1QQQ5;F1QUM3;F1QVU3;F1R3V3;F1R431;Q1LYK7;Q1RLT7,ZERO,V9HW69;P06396;O15195;P09327;Q9Y6U3;O75366,P06396,NONE,NONE,NONE,NONE
KOG0156,5,1,Q8L7H7;O23156;P58051;Q9LW27;Q9LTM4;Q9T0K2;P92994;O49652;O65787;Q7Y222;Q9XIQ1;Q9LTK9;Q9LVD2;Q9SAB6;O65790;P58049;Q9LXM3;Q9LTM2;Q96514;Q9LHR3;Q9SRQ1;P58047;O23155;O49342;P58045;Q9LTM0;Q0WTF4;Q9LIG8;Q9STL0;Q9STI0;Q9ZUQ6;Q9FL55;Q9LTM6;Q5E922;Q682J4;Q9STK7;O64637;O65785;Q9FLK1;Q3E7Q8;Q9LZ31;O22203;Q9ZNR0;Q9MAL6;O64638;Q9FI39;Q9LJY5;Q9SAE4;O23391;Q9LTL8;Q9LJY4;Q949U1;Q9SQY6;Q9LNJ4;Q9FH66;O22185;Q66GJ1;Q9LIG9;Q0WQ07;O49394;O65786;Q9LSF8;O64636;Q42602;O65438;Q9LPS6;O65782;Q9LJY9;F4IWB9;O48532;Q9LQ26;Q9SLP1;Q9LTM7;Q9LJZ2;Q9LU04;O64635;Q9STK9;Q9STK8;Q9FUY7;Q9FL56;P58048;Q9C714;Q9LIP6;O23389;Q9LJY7;Q9SI49;Q9LTM3;Q9SZT6;F4JD28;Q9LTL0;Q9C9D1;Q9CA61;Q9SCN3;Q9SCN2;Q9LQ25;O64514;P58046;Q9SD85;Q9LIP5;Q9SQY7;Q8GXT5;Q8GZ20;Q9XIQ3;Q9FIB0;Q93ZB2;Q9STL2;Q9FH67;Q9LEX2;Q9LQB7;O49650;Q9T0K0;Q9ZU07;O81346;Q9LJY8;O65784;F4JQL6;Q9LXB3;Q42600;Q9LTM1;Q9SZU1;O65788;Q9STI1;Q501D8;P58050;Q9FG65;O49340;Q9LPS5;Q9LVD6;Q9SJ39;Q9SZT7;F4JW83;O22188;Q9LIP3;Q9STH8;Q9SGP1;Q9SZ46;Q9LIG7;Q9LZ62;Q9LXB2;P48421;Q9FLC8;Q9STL1;Q9LHA1;Q9CA60;Q9SAB7;Q9ZVD7;Q9LIP4;Q9SW67;Q9SAE3;Q9XIQ2;Q9LTL2;Q9LJY6;O49396;Q9ZVD6;F4J9C1;Q9LMX7,Q9LNJ4,Q27465;O16482;O45659;Q27470;Q9N5I1;O44651;O16362;G5EE22;O44650;Q27471;P90771;Q27482;O02641;O44649;O44652;Q27531;O44706;O02628;O62377;O62378;G5ED86;Q965T7;O61935;O44656;Q9N4Q4;O02627;Q27507;Q27506;Q27505;O44704;G5ECD0;O44657;O44655;O61204;O44658;O16673;O16670;Q20315;Q27499;H2KYS3;O16220;H2KY69,ZERO,Q9VWR5;A8Y592;Q9VRM7;Q9VW43;Q95078;Q9VG17;Q9V399,ZERO,F1QIJ4;F1QP46;F1Q7C7;A2ATX9;F1QYD1;F1QP74;F1R2K2;B8JKD5;Q5U396;F1QSL4;F1QNB0;F1QZW6;F1QWN8;Q5TZ75;Q5TZ86;G1K2M6;F6P2A1;Q5TZ84;F8W2S7;Q5TZ82;B3DJ50;E7FEJ8;E7F1Y3;Q98T96;F1R625;E9QBY0;B8A5Q1;F1Q8C3;B3DIC0;Q8UW07;E7FGY5;F1R2L2;Q5TZ76;F1RBI9;F1QSM3;H9GX52;Q5TZ81;F1QWB0;F1RB25;Q5RG51;F1R3W8;E7FCI2;F1QFW9;F1QMG0;E9QD18;F1QSL5;H9GX68;A0PGL6;F1R9N0;F1R9M9,ZERO,A0N0X8;C1ID52;K9LHU1;P05177;P05181;P10632;P11509;P20813;P20853;P24903;P33260;P33261;P51589;Q16696;Q16874;Q1HB44;Q6VVX0;Q7Z449;Q96SQ9;S5RV20;Q8TAV3,ZERO,NONE,NONE,NONE,NONE
KOG1591,5,2,Q8L970;Q24JN5;F4JZ25;Q8GXT7;Q8VZJ7;Q8LAN3;Q9ZW86;F4JAU3;F4J0A8;Q9LN20;F4JNU8;Q9SZT0;F4ILF8,ZERO,Q17985;B1V8J1;Q10576;B1V8J4;Q9XUP0,ZERO,A8DYR4;Q9VA61;Q0KHY6;Q8T5S7;Q8MSK0;Q9VVQ6;Q8SWR1;Q9VA69;Q9VA60;Q8MQN0;Q961I8;Q4V443;Q8T3H5;Q8IQS7;Q9VVQ7;Q8IMH8;Q2PDP5;Q9VA52;Q9VAR7;Q9VHU7;Q8IMI4;Q8T0N6;Q9VA65,ZERO,F1R022;F1RC52;F1Q9H1;Z4YHZ5;F1QCL7;F1QWZ3;Q7ZVE9;Q7T150,F1RC52,Q5VSQ6;Q9NXG6;O15460;Q7Z4N8,Q5VSQ6,NONE,NONE,NONE,NONE
KOG1520,5,1,Q8VWF6;Q9SD05;Q9C9C2;Q9SD07;F4IJZ6;Q9M1J7;Q9CAZ7;Q9SLG8;Q9M1B4;Q9SD04;P94111;P92976;Q9M1J6;Q9C586;Q4V3D9,Q9M1B4,Q22437;O62040,ZERO,Q58SN4,ZERO,B3DIS2,ZERO,Q9HDC9,ZERO,NONE,NONE,NONE,NONE
KOG1476,5,2,Q9ZQC6;Q9SXC4;Q8L707;Q9FH90,Q9SXC4,O62113;Q18847;O17751;Q9XU73;Q09363;O17708;O02304,ZERO,E1JHC8;M9NE76;O97422,ZERO,Q6DBR2;F1R873;E7EXT8;Q5CB02,E7EXT8,O94766;Q9NPZ5;Q9P2W7,ZERO,NONE,NONE,NONE,NONE
KOG0244,5,1,Q5XET8;Q9FME7;Q94LW7;Q8GS71,Q8GS71,G5EGS3;O45935,ZERO,E1JHE1;P18105;Q9XZ29,ZERO,E7F2W9;F1QBD7;H9GYK7;F1QWX6;H9GXL2;F1QH25;F1R2L6,ZERO,Q7Z4S6;O95239;Q86VH2;Q2VIQ3;O75037;Q2M1P5,ZERO,NONE,NONE,NONE,NONE
KOG2657,5,1,Q8GUM5,ZERO,Q23316,ZERO,E1JIV8,ZERO,E7F0S7;F1REK9,ZERO,Q92542,Q92542,NONE,NONE,NONE,NONE
KOG2956,5,1,Q8RWY6,ZERO,Q18249;Q03609,ZERO,Q9NBD7,ZERO,F1R253;E7EYD3;F1QJS2,ZERO,E7EW49;Q7Z460,Q7Z460,NONE,NONE,NONE,NONE
KOG3637,5,2,NONE,NONE,P34446,ZERO,P12080,ZERO,A1A5I3;E7EZC7;E7F3P8;E7F7L7;E7F925;E7FAC2;E7FGC7;F1Q8T4;F1QEK7;F1QIM5;F1QWI2;F1R108;Q5I2A9,Q5I2A9,P20701;Q13797;O75578;P53708;P08514;P08648,P20701;Q13797;O75578;P53708;P08514;P08648,P47014,ZERO,NONE,NONE
KOG3607,5,1,NONE,NONE,Q19844;G5EFD5;G5EDW5;Q9N5X7,ZERO,Q86P79;M9NDY9,ZERO,F8W3T1;F1Q4N9;E7FEZ4;F1QIW5;Q7ZYZ9;F1QF43;E7FGJ0;F1QU24;E7F494;F1QFD2;E7F6J8;E7F698;E7F763;A3KQJ0;E7FG16;H9GYH5,ZERO,A0A024R3W8;Q9H2U9;Q9P0K1;O15204;P78325;Q9Y3Q7;Q99965;Q13443;Q13444;Q9UKF5;O43184;Q9UKQ2;Q8TC27;Q9BZ11;Q9UKF2;Q9H013;O43506;O75078,P78325;Q13443;Q13444,NONE,NONE,O13766,ZERO
KOG0035,5,1,NONE,NONE,Q21408;Q23158;G5EFW3;G5ECW3;E0AHA7,ZERO,M9PBI5;B7YZI1;Q9VZQ3;M9MS06;M9PF16,ZERO,A5PLJ3;B8JHU4;D1GJ56;E7FD42;E7FDY1;E7FDY6;E7FFA8;F1QBM5;F1QFS5;F1QQE5;F1QXB0;F1R446;F1RAJ3;H9GX78;H9GYZ5;Q8AX99,ZERO,Q8NDI1;O15020;P35609;Q13813;Q8N3D4;Q9NRC6;B2ZZ89;P12814;O43707;Q9H254,P12814,NONE,NONE,O13728,ZERO
KOG3308,5,1,NONE,NONE,P91500,ZERO,NONE,NONE,F1REI8;Q5BJ19;Q7ZW81,F1REI8,Q9NPI5;Q9NWW6,ZERO,P53915,ZERO,Q9C0W1,ZERO
KOG2571,5,2,NONE,NONE,NONE,NONE,Q9VNW7;Q8MQN8,ZERO,E7F1A0;F1Q9N7;F1QC73;F1QNF3;Q1LUE8;Q1L8X7;Q9DG41,F1QNF3;Q1LUE8;Q9DG41,Q92839;Q92819;O00219,Q92839;Q92819;O00219,P29465;P08004;P14180,ZERO,O74756;P30597,ZERO
KOG3359,5,1,NONE,NONE,NONE,NONE,M9PG53;Q9VTK2,ZERO,F1Q8R9;F1QF89,ZERO,Q9UKY4;Q9Y6A1,Q9Y6A1,P31382;Q06644;P52867;P46971;P47190;P42934;P33775,ZERO,Q9C100;O13898;O42933,ZERO
KOG1971,4,1,Q9C742;Q9LV19;Q9C7Y7;Q3ED68;Q9FIX4;Q9C738,ZERO,NONE,NONE,Q9VTH0,ZERO,A3KGZ2;A3KNH4;F1Q768;A4U7F9;A8WIN7,ZERO,A0A024R4H0;Q6N063;O00469;O60568,O00469;O60568,NONE,NONE,NONE,NONE
KOG1221,4,1,B9TSP7;Q0WRB0;Q9FMQ9;Q93ZB9;Q08891;Q1PEI6;Q9M1D7;Q39152;Q9LXN3,Q08891,NONE,NONE,Q9VLJ7;O46038;Q7K3T3;Q9W459;Q9VG87;E1JH83;Q8MS59;Q9VES7;Q9VES6;Q9VG86;Q960W6;Q9W0Y5;Q9VDS1;Q9VES5;Q9VCF6,ZERO,A2CET9;Q1L8Q4,ZERO,A0A024RAW7;Q8WVX9,ZERO,NONE,NONE,NONE,NONE
KOG1021,4,1,Q8S9K6;Q9FZJ1;Q9XID1;Q9SH31;Q08AA5;Q9CA34;Q93ZD5;Q9C975;Q7XJ98;Q9ZUV3;O81072;Q9SL00;O48843;O48842;Q6DBG8;Q9SS65;Q9SSE8;Q3EAR7;Q9M3D9;Q6NKR6;Q84R16;Q9SUW1;O65522;Q9SZK4;Q9LFP3;Q9LYD1;Q9LFL2;F4K2K9;Q3E9A4;Q6NMM8;Q3E7Q9;Q0WPG1;Q94AA9;Q9FGV3;Q9FHD8;Q9FLA5;Q940Q8;Q9LVB4;Q8RXU2;Q9FFN2,ZERO,NONE,NONE,A0A0B4KER9,ZERO,E7FH15;E7F1I6;E7F795;F1R5B9;F1QUC2;F1QR13,F1QUC2,Q16394;Q92935;Q93063,ZERO,NONE,NONE,NONE,NONE
KOG2288,4,1,Q9SAA4;Q5XEZ1;A8MRC7;Q8L7M1;Q66GS2;Q9ZV71;Q9MAP8;Q94F27;Q8LEJ9;Q9LKA9;Q9LM60;Q6NQB7;Q94A05;Q9C809,Q9C809,NONE,NONE,A1Z7G9,ZERO,Q256Z7,ZERO,Q96L58,ZERO,NONE,NONE,NONE,NONE
KOG2029,4,1,Q9SYZ6,ZERO,NONE,NONE,Q9VJ64,ZERO,Q5SNQ7,ZERO,Q96JX3,Q96JX3,NONE,NONE,NONE,NONE
KOG1429,4,1,Q9ZV36;Q9SN95;Q9FIE8;Q8S8L8;Q8S8T4;Q93VR3;Q9ZUY6;Q9SGE0;Q8VZC0;Q9LZI2,ZERO,NONE,NONE,Q9VSE8,ZERO,Q6GMI9,Q6GMI9,Q8NBZ7,ZERO,NONE,NONE,NONE,NONE
KOG3010,4,1,Q9SUW6;Q9ZVC3;Q9ZVU4;Q9LEV6;Q9M389;Q9M2E3,Q9M389,NONE,NONE,NONE,NONE,F1QJM0;Q1LYQ0,ZERO,NONE,NONE,P32643;P38892,ZERO,Q9UTA8;Q9UTA9,ZERO
KOG3587,4,1,NONE,NONE,Q18813;A4F313;Q6BEU2;G5EBV4;A4F307;C4RVF6;O62353;Q09610;Q18625;Q9GZD9;Q9GZD8;O01329;O01331;O01330;Q9GZE0;Q5ZR27;O45904;Q94215;Q8I4A4,ZERO,Q9VWB0;Q9VPU6;Q9VPI7;M9NCX9;Q95SA3,ZERO,Q29RA0;E9QFY9;F1QWY9;Q6IQI2;B8A4X5;F1QGM0;F8W2I6;Q6DGJ1;E7F389;F1QSL3;Q1ECW6;A5PN32;E7FGX2;E9QFW3;F1QIE5;Q7T119,ZERO,A0A024QZ55;A0A024R693;A8MUM7;O00214;P05162;P09382;P47929;Q05315;Q6FHZ4;Q8TCE9;Q9UHV8;Q96DT0;Q3B8N2;Q6DKI2;Q3ZCW2,A0A024R693,NONE,NONE,NONE,NONE
KOG3814,4,1,NONE,NONE,H2KY90,ZERO,A0A0B4KEN4,ZERO,B0V210;Q8UVJ6,Q8UVJ6,A0A024R0E3;Q9ULK5,ZERO,NONE,NONE,NONE,NONE
KOG4029,4,1,NONE,NONE,P34555;Q10007;Q23579;Q22717;Q09961;Q20941;Q18590,ZERO,M9PH26;P09775;P10084;P09774;Q9VL05;Q9VI67;O18374;Q9W4X2;Q59E67,ZERO,Q6P0A8;F1QZT9;E7F361;A2BDM6;F1R7I0;Q90ZL1;F1QH39;Q7ZSX3;F1R8V6;F1QSD5;E7FEX0;O93507;E7F8I6;E7F629;E7F7Q9;F1QUD8;Q9IAJ4;E7FBV7;F1Q9Z5;K7DYE4;Q90259;Q90260,ZERO,A0A024R0I7;A6NI15;O43680;O60682;O96004;P12980;P17542;P50553;P61296;Q0VG99;Q12870;Q16559;Q5T203;Q7RTU1;Q9BRJ9;Q7RTS3;Q7RTU0;Q6XD76;Q6QHK4;Q7RTU5,Q12870,NONE,NONE,NONE,NONE
KOG3806,4,1,NONE,NONE,Q22355;O44138;O01519;O01521;Q7JNQ1,ZERO,P29776;Q04688;Q8MRW5;P29774;P51022,ZERO,B7ZVP1;E7F6E9;B3DIF9;E7F086;F1QFL0;F1RD02;F1R6H2;Q30JB6;Q9PU61;F1QK28;F1QDX9;Q9I9E8;F1QX40;A3FEM2;F1QIB0;Q501S1;B0S6S7;F1RB24;E7F1I3,ZERO,A0A024R0L4;A0A024R1A7;A0A024R9C2;A0A024RBE2;A0A0A0MSR4;A8IE48;P50549;P11308;P15036;P41162;O00321;P14921;Q99581;P41161;Q6ZN32;P43268,P14921,NONE,NONE,NONE,NONE
KOG4710,4,1,NONE,NONE,Q19213,ZERO,A0A0B4KEJ4,ZERO,B3DHE4;F1QY17,ZERO,A0A024R2F2;Q6RSH7,Q6RSH7,NONE,NONE,NONE,NONE
KOG3900,4,1,NONE,NONE,P92172;O16273;Q965N9,ZERO,O61643;A0A0B4LGA7;X2JB15;Q9V4E6;P07713;Q9VQG9,ZERO,F1QX69;Q1LWW7;F1R678;Q9W6I6;F1QAD6;F1QWZ4;F1QWZ9;A2BGK2;Q8QGE3;F1QD07;F1R5Z7;A8E7B8;B0S7E0;Q68IN2;H9GX70;F1R1F5;O93369;P35621;F1QQN8;B8A5X9;O42222;P85857;Q1LYE4;F1R741;E7FDP7;A2AVJ4;F8W4A6;Q32PR5;B0S4U4;B3DI86;P87358;F1QDD0;F1QA78;F1QXC6;Q9PTF9;Q8JFP9;F1QK08;F1QPH9;Q66I23;F1QDT8,ZERO,A0A024R3P5;A0A024R7N8;A0A024RB20;A4D1W7;A5YM40;A8K571;B4DXG3;C8C060;F1T0J1;M9VUD0;O75610;O95393;O95972;P01137;P03971;P05111;P09529;P12645;P22004;P34820;P55103;P55107;P58166;P61812;Q9NR23;Q53S46;Q9UK05;Q53XC5;Q96S42;Q6KF10;Q99988;Q7Z5Y6;Q7Z4P5,O95393;P01137;P61812,NONE,NONE,NONE,NONE
KOG3573,4,1,NONE,NONE,G5ECW5;G5EBM1;P42573;O62520;G5ECY5,ZERO,Q7KHK9;Q9NHF9;O01382;Q9XYF4;X2JHT0;O02002;Q9NBW3,ZERO,Q4U0E2;F1R234;E7F2V8;F1R706;B0V1H3;E7FEH9;F1QBU9;F1R2P5;E7F2N9;E7F386;B8A526;B8JK21;F1QQS7;B0V1H4;F1Q7K7;E7EXV8;Q504J1;A2BGE2;F1R5C3;F1QSB1;F1QLH0;Q9I9L7;E9QGI8;F1QBG0;F1RDX7,ZERO,A0A024R3Z7;A0A0A0MRL7;B1AKZ4;P0CB46;P29466;P42574;P42575;P49662;P51878;P55211;P55212;P57730;Q14790;Q5XLA6;Q5EG05;Q92851;Q6UXS9;Q9Y2G2,P42574,NONE,NONE,NONE,NONE
KOG0516,4,0,NONE,NONE,Q19011;Q9N4M4;Q965L0;G5EDD3,ZERO,Q7KAJ2;M9MRD1,ZERO,E7EZ30;E7F8G7;E9QCV2;E9QFS3;F1Q5Y7;F1Q6N7;F1QAU9;F1QC38;F1QPW1;F1QR57;F1QVC9;F1RA97;F1RBA4;F1RD27;F1RDQ8;I3ISA6;H9GYZ0,ZERO,A0A075B730;A8MZ36;Q96JQ2;Q6ZMZ3;Q9UPN3;Q8NF91;Q8WXH0,ZERO,NONE,NONE,NONE,NONE
