KOG1213,7,5,Q8W1Y0;Q9S7T7;Q9FQ19;Q9FQ20,Q9S7T7,Q21306;Q19325,Q21306;Q19325,A0A021WW32,ZERO,Q1L8E1;F1QKC8;A0JMM5;B8JLA8,ZERO,A0A024R9J0;Q9H4I0,Q9H4I0,Q12158;Q12188,Q12188,P36626;P30776,P36626,
KOG2250,6,1,Q38946;Q43314;Q9C8I0;Q9S7A0,ZERO,NONE,NONE,P54385;Q9VCN3,P54385,B8A4B0;Q6P3L9,ZERO,E9KL48;P49448,ZERO,P39708;P07262,ZERO,P78804,ZERO,
KOG1979,6,4,Q9ZRV4,Q9ZRV4,NONE,NONE,O61917,ZERO,B8A6F5,B8A6F5,P40692,P40692,P38920,P38920,Q9P7W6,ZERO,
KOG3075,6,1,Q9S726;Q9C998;Q9ZU38;Q9FI13,Q9ZU38,NONE,NONE,Q8MLS2;Q9W1R9,ZERO,B8JI15,ZERO,P49247,ZERO,Q12189,ZERO,Q9UTL3,ZERO,
KOG3108,6,1,Q9ZQ19;Q8LFJ8,ZERO,NONE,NONE,Q8SXG3,ZERO,B8JKF4;Q504I6,ZERO,Q13156;P15927;Q9H668,ZERO,P26754,P26754,Q92373,ZERO,
KOG1962,6,1,Q9SFU9;Q9LTP7;Q9FJK4;Q8L702;Q93XZ7,ZERO,NONE,NONE,B9EQV3,ZERO,Q5RIX5;Q8JFW7,ZERO,P51572;Q9UHQ4,P51572,P35723;Q07451;Q04210,ZERO,O14290,ZERO,
KOG4593,6,1,Q9LTY1,Q9LTY1,NONE,NONE,Q95S25,ZERO,D9IWE2,ZERO,Q9Y6D9,ZERO,P40957,ZERO,P87169,ZERO,
KOG4205,6,1,Q949Z3;Q8W569;Q8W034;O22791;Q9SFD3;Q8VZ63,ZERO,NONE,NONE,E1JHA4;M9NG33;Q7JN15,ZERO,F1QFM3;Q7SXT6;Q7ZW10;Q5CZN9,ZERO,Q96DH6;Q96EP5;O43347,Q96EP5,Q99383,ZERO,O94432,ZERO,
KOG0264,6,1,O22467;O22607;O22468;Q9SU78;Q5HZ33,O22467;O22607,NONE,NONE,E1JIL4,ZERO,E7FEX2,ZERO,Q09028;Q16576;Q6PJI9;Q6P4I2,ZERO,P39984;P13712,ZERO,O94244;O14021;Q9Y825,ZERO,
KOG4155,6,2,Q9LJ71;Q9SV11;Q9SZQ5;Q9XIB2;Q9SZ03;Q9FG99,Q9SZQ5,NONE,NONE,Q9XZ19,ZERO,E7EYD9;E7F1K1;E7F2V1;E7F786,ZERO,Q99973;Q9GZS3;O14727,ZERO,P53851;Q02793;P36130,Q02793,Q09150;O42948,ZERO,
KOG0331,6,2,Q9SQV1;Q8H136;Q9C551;Q9C718;Q8L7S8;Q3EBD3;Q8W4R3;Q9LUW5;Q9LYJ9;Q9LUW6;Q39189;Q8GUG7;Q56X76,Q8L7S8,NONE,NONE,Q9VL52;Q8MRJ6;Q9VNP5;P19109;Q9W3M7;Q9W3Y5,ZERO,E7EZL3;E7F2U3;F1Q5L6;F1QBS1;F1R8P9,ZERO,Q9BQ39;H3BLZ8;Q587J7;Q9NR30;Q2MKA6;P17844;Q5T1V6,Q587J7;Q2MKA6,P24783;P20447,ZERO,P24782;Q10202,ZERO,
KOG3003,6,1,Q9XQC7;Q8LB47;Q9FLP3;Q9C8X4,Q9XQC7,NONE,NONE,P48604,ZERO,E7F0C3;Q32PS5,ZERO,Q8TAA5;Q9HAV7,ZERO,P38523,ZERO,O43047,ZERO,
KOG2020,6,1,Q9SMV6;F4IZR5;Q0WP44,Q9SMV6;F4IZR5;Q0WP44,NONE,NONE,Q8IH79;Q9VWE7;Q8T9F5,ZERO,E7F0E8;E7FBU7;F1Q863;F1R8G3,ZERO,Q9HAV4;O14980;Q96QU8,ZERO,P30822;P52918,ZERO,P14068;O14116,ZERO,
KOG0286,6,3,P49177,P49177,NONE,NONE,P26308,ZERO,E7F0T7;Q6PH57;Q5BJ11;Q6DH55;Q5U3U8,ZERO,F1T0G5;Q9HAV0;Q6FHM2,ZERO,P18851,P18851,Q10282,Q10282,
KOG1550,6,1,Q9SLA6;Q94C27;Q9C6B6;Q9LM25;Q9LPP7,ZERO,NONE,NONE,Q9V415,ZERO,E7F1F1;E7F815;F1QV85;F1R244;F1RBB8;H9GYU7;Q5RIK6,ZERO,Q9UBV2;Q9P2M1;Q5TEA6;Q14154;Q68CR1,ZERO,P34226;Q07622;P39000;Q05787,P39000,O13875;O94614;Q09897;Q9USV0;O59732;O94486,ZERO,
KOG1901,6,1,Q9LJE5;Q8W573;Q9FNR2;Q0WR25;Q9LNG4;Q9ZVU7;Q1JPL5;Q500V8;Q9FPE7;Q56XH8;Q8VYH3,ZERO,NONE,NONE,Q8IMU5,ZERO,E7F1H9;E7FAP0;Q802Z0,ZERO,Q9BYJ9;Q9Y5A9,ZERO,Q06390,ZERO,O74958,O74958,
KOG0363,6,1,Q940P8,ZERO,NONE,NONE,Q9W392,ZERO,E7F2N7;F1QN02,ZERO,V9HW96,V9HW96,P39076,ZERO,Q10147,ZERO,
KOG1727,6,1,P31265;Q9M9V9,P31265,NONE,NONE,Q9VGS2,ZERO,E7F8Y5,ZERO,P13693,ZERO,P35691,ZERO,Q10344,ZERO,
KOG0985,6,2,Q0WLB5;Q0WNJ6,Q0WNJ6,NONE,NONE,P29742,P29742,E7FBE5;E9QG93;F1QUJ2;F1QZU8;F1R966,ZERO,Q8NHS4;Q00610,ZERO,P22137,ZERO,Q10161,ZERO,
KOG0435,6,1,Q9XEA0,Q9XEA0,NONE,NONE,Q9VZ82,ZERO,E7FD95;F1R7M6,ZERO,Q15031,ZERO,P11325,ZERO,Q09828,ZERO,
KOG1974,6,3,Q9FLX0,ZERO,NONE,NONE,Q9NG27;P49021,P49021,E7FGL0,ZERO,Q9UNS1,ZERO,P53840,P53840,Q9UUM2,Q9UUM2,
KOG1692,6,1,Q9LIL4;Q9S7M9,ZERO,NONE,NONE,Q9W4K0;Q9W2A6,ZERO,E9QE12,ZERO,Q6FHT8,Q6FHT8,P32803,ZERO,Q9P7I9,ZERO,
KOG1126,6,1,Q8LGU6;Q06AN9,Q8LGU6;Q06AN9,NONE,NONE,Q24021,ZERO,F1Q5X3,ZERO,P30260,ZERO,P38042,ZERO,P10505,ZERO,
KOG4302,6,1,Q9FHM4;Q8L836;Q9FLP0;Q4PSA3;Q9LZY0;F4HWA5;Q9ZVJ3;Q9SIS3;Q9C7G0;Q8LEG3,ZERO,NONE,NONE,Q95SC3;Q961S2,ZERO,F1Q733;F1QCL3;H9GZ94,ZERO,O43663,ZERO,P50275,ZERO,Q9HDY1;O94452,Q9HDY1;O94452,
KOG2768,6,2,Q9SFC2;Q41969;Q9LZV2,Q41969,NONE,NONE,P41375,ZERO,F1Q8P7,ZERO,Q6IBR8,Q6IBR8,P09064,ZERO,P56329,ZERO,
KOG2941,6,1,Q8L7M0,Q8L7M0,NONE,NONE,Q9VEE9,ZERO,F1Q8U9,ZERO,Q9BT22;Q6GMV1,ZERO,P16661,ZERO,O13933,ZERO,
KOG2000,6,5,Q9FG37;Q9FYD0,Q9FG37,NONE,NONE,Q9XYP8,Q9XYP8,F1QA15;F1QHK6,F1QA15,Q96CW5;Q96RT7,Q96CW5;Q96RT7,P53540,P53540,Q9USQ2,ZERO,
KOG0219,6,6,O24617,O24617,NONE,NONE,P43248,P43248,F1QEP5,F1QEP5,P43246,P43246,P25847,P25847,O74773,O74773,
KOG0068,6,1,O04130;Q9LT69;O49485,O49485,NONE,NONE,Q9VKI8,ZERO,F1QEY8,ZERO,O43175,ZERO,P40054;P40510,ZERO,P87228,ZERO,
KOG0677,6,2,Q9LSD6,ZERO,NONE,NONE,P45888,ZERO,F1QF15;F1QHG2;Q56A35,ZERO,P61160,P61160,P32381,P32381,Q9UUJ1,ZERO,
KOG1969,6,1,F4I5S3,ZERO,NONE,NONE,M9MSG2;Q95WV5;Q8SZI8,ZERO,F1QF60,ZERO,Q8WVB6,ZERO,P49956,ZERO,Q9USQ1,Q9USQ1,
KOG2537,6,1,P57750,ZERO,NONE,NONE,Q9VTZ4,ZERO,F1QHK0,ZERO,O95394,O95394,P38628,ZERO,Q09770;Q09687,ZERO,
KOG3285,6,1,Q9LU93,Q9LU93,NONE,NONE,Q9VRQ2,ZERO,F1QHN1,ZERO,Q13257,ZERO,P40958,ZERO,O14417,ZERO,
KOG1598,6,1,F4IN86;Q0WVQ3;Q9S9Q7;F4IW19;O81787,F4IN86;O81787,NONE,NONE,Q9VEL2,ZERO,F1QIW1;F1R9S3;Q5TZ89,ZERO,Q92994;Q9HAW0,ZERO,P29056,ZERO,Q9P6R0,ZERO,
KOG0284,6,2,Q6NLV4,Q6NLV4,NONE,NONE,Q9VNG2,ZERO,F1QJZ5;H9GYZ2,ZERO,Q9C0J8,Q9C0J8,P42841,ZERO,Q9UTN4,ZERO,
KOG0675,6,1,Q38798;P29402,ZERO,NONE,NONE,Q9I7S9,ZERO,F1QKS4;F1R4P8;Q08BY9,ZERO,P27824;O14967,O14967,P27825,ZERO,P36581;Q9P7D0,ZERO,
KOG0679,6,1,Q84M92,Q84M92,NONE,NONE,Q7K012,ZERO,F1QM20;F8W3Z2,ZERO,O96019;O94805,ZERO,Q12406;P80428,ZERO,Q09849;Q9P7X7,ZERO,
KOG3203,6,1,Q7XA68;Q9SYL9,Q9SYL9,NONE,NONE,Q9VJ38,ZERO,F1QQ34,ZERO,Q9BYD1,ZERO,Q12487,ZERO,O60118,ZERO,
KOG1434,6,5,Q8GXF0;Q39009,Q8GXF0;Q39009,NONE,NONE,Q8SZ30,ZERO,F1QQC9,F1QQC9,O43502,O43502,P25453,P25453,O42634,O42634,
KOG2016,6,1,F4JBA2;Q9ZV69;P42744,P42744,NONE,NONE,M9PEU5,ZERO,F1QR83,ZERO,Q13564,ZERO,Q12059,ZERO,Q9UT93,ZERO,
KOG4151,6,1,O49385;O48802;Q9SIR4;F4K487,ZERO,NONE,NONE,Q9VHW4,ZERO,F1QU23;Q6DGE9,ZERO,Q9H3U1;Q8IWX7,ZERO,P51534,P51534,O74994,ZERO,
KOG2785,6,1,Q8H1G5;Q9ZQ18;Q9MAR2,ZERO,NONE,NONE,Q9VX08,ZERO,F1QU59,ZERO,Q969S3,ZERO,P38344;Q06709,P38344;Q06709,O59811,ZERO,
KOG0554,6,1,Q9M9C7;F4KBM0;Q9SSK1;Q9SW96;O48593;Q9SW95,Q9SW96;O48593,NONE,NONE,Q7JZR5,ZERO,F1QVF0,ZERO,Q96I59,ZERO,Q3E7Z8,ZERO,Q9P6I0,ZERO,
KOG0142,6,1,Q38929;Q42553,Q42553,NONE,NONE,Q9VDC2,ZERO,F1QVG2,ZERO,Q13907;Q9BXS1,ZERO,P15496,ZERO,Q10132,ZERO,
KOG2115,6,2,F4JT76,ZERO,NONE,NONE,Q9VLC0,Q9VLC0,F1QXS3,ZERO,Q9P1Q0,ZERO,Q12071,Q12071,O14093,ZERO,
KOG1112,6,1,Q9SJ20,ZERO,NONE,NONE,P48591,ZERO,F1R2K9,ZERO,P23921,P23921,P21524;P21672,ZERO,P36602,ZERO,
KOG2604,6,1,Q8L744,ZERO,NONE,NONE,Q961G1,Q961G1,F1R2N3;F8W5C2,ZERO,Q96JB2,ZERO,P40094,ZERO,Q9Y7Z4,ZERO,
KOG0798,6,1,O80498,ZERO,NONE,NONE,Q4V3Z5,ZERO,F1R3R4,ZERO,Q9BVC3,ZERO,P25559,ZERO,Q09732,Q09732,
KOG2441,6,1,O80653,O80653,NONE,NONE,P39736,ZERO,F1R6U5,ZERO,Q13573,ZERO,P28004,ZERO,Q09882,ZERO,
KOG3871,6,1,Q8RWS4,ZERO,NONE,NONE,P51406,ZERO,F1R7L3,ZERO,Q13895,Q13895,P38333,ZERO,O60071,ZERO,
KOG1470,6,1,Q9FML7;Q8GXG8;Q9LUV9;O23217;Q9LQ96;Q9LM14;Q9LR51;O22270;Q9FRK8,ZERO,NONE,NONE,Q8I941;Q9VRR3,ZERO,F1R8U1,ZERO,Q8NHP6,ZERO,P53860;Q06705;P53844,P53860,Q9HDZ5;Q10138;Q9UUC2;Q9UU99,ZERO,
KOG1532,6,1,Q8W586,Q8W586,NONE,NONE,Q9V3R3,ZERO,F1R8Z3,ZERO,Q9HCN4,ZERO,P47122,ZERO,O42906,ZERO,
KOG2326,6,1,Q9FQ09,ZERO,NONE,NONE,Q8MSM8,ZERO,F1R9K9;F6NXK5,ZERO,P13010,ZERO,Q04437,Q04437,Q9HGM8,ZERO,
KOG1159,6,1,Q6NPS8;Q9LJ38,Q6NPS8,NONE,NONE,Q9VSJ5,ZERO,F1R9Y7,ZERO,Q9UHB4,ZERO,Q12181,ZERO,O94613,ZERO,
KOG2841,6,3,Q9MA98,ZERO,NONE,NONE,Q95S37,ZERO,F1RAG8;Q6NY87,ZERO,Q9BTP7;P07992,P07992,P06838,P06838,Q06182,Q06182,
KOG3855,6,1,F4J6I6;Q8GYJ7,Q8GYJ7,NONE,NONE,Q9VMQ5,ZERO,F1RAX8,ZERO,Q9Y2Z9,ZERO,P53318,ZERO,Q9Y7Z9,ZERO,
KOG0760,6,1,F4HNW4;O64731;Q8L6Z2,ZERO,NONE,NONE,Q9VAY3,Q9VAY3,Q287T7,ZERO,Q9NYZ2;Q96A46,ZERO,P10566;P23500,ZERO,Q09834;O14281,ZERO,
KOG2379,6,3,F4KFU8;Q5W9E7,Q5W9E7,NONE,NONE,Q9V3T1,ZERO,Q6GML8,ZERO,Q96NY9,ZERO,Q04149,Q04149,P87231,P87231,
KOG1374,6,1,P38557;P38558,ZERO,NONE,NONE,M9PDN9,ZERO,Q7ZVM5;Q6IQ78,ZERO,P23258;Q9NRH3;Q9UJT1,P23258;Q9UJT1,P53378,ZERO,P25295,ZERO,
KOG2581,6,1,Q9LQR8;Q9LNU4,Q9LNU4,NONE,NONE,M9PG62,ZERO,Q6NYV1,ZERO,O43242,ZERO,P40016,ZERO,O42897,ZERO,
KOG3092,6,2,P40228;Q24JI1;Q541V5;O80507,O80507,NONE,NONE,O96863;Q24536;P08182;Q7KV12;Q7KV13;Q7KV23;Q7KV22;Q9NIV2,P08182,Q91398,ZERO,N0E4C7;Q5SRQ6;Q5SRQ3,ZERO,P38930;P43639,ZERO,P40232;O94281,ZERO,
KOG1498,6,1,Q8VWK0;Q9FIB6,Q9FIB6,NONE,NONE,Q9V3Z4,ZERO,Q8AW07,ZERO,O00232,ZERO,Q12250,ZERO,Q9UTM3,ZERO,
KOG0131,6,1,Q9ZU66;Q8GW25,Q9ZU66,NONE,NONE,Q24534,ZERO,Q6NWB3,ZERO,Q15427,ZERO,Q99181,ZERO,O14102,ZERO,
KOG0746,6,1,P22738;P17094,P17094,NONE,NONE,O16797,ZERO,Q5BJJ2,ZERO,Q92901;P39023,ZERO,P14126,ZERO,P40372;P36584,ZERO,
KOG0362,6,1,O22275;Q94K05;Q9C7Z7,ZERO,NONE,NONE,Q7K3J0,ZERO,Q7ZU96,ZERO,Q96SF2;P50990,P50990,P47079,ZERO,P78921,ZERO,
KOG3185,6,1,O22290;Q9M060,Q9M060,NONE,NONE,P56538,ZERO,Q6ZM19,ZERO,P56537,ZERO,Q12522,ZERO,O94476,ZERO,
KOG0184,6,1,O23715,ZERO,NONE,NONE,Q9V5C6,Q9V5C6,Q4V918,ZERO,P25788,ZERO,P21242,ZERO,O59770,ZERO,
KOG1696,6,1,Q9SRX2;Q9LUQ6;P49693;Q680Q9,Q9SRX2,NONE,NONE,P36241,ZERO,Q6P5L3,ZERO,P84098,ZERO,P0CX83;P0CX82,ZERO,O42699;P05734,ZERO,
KOG0635,6,1,Q9SRW7;Q84JF0;Q43295;O49196,Q9SRW7;Q84JF0;Q43295;O49196,NONE,NONE,Q8IQV1,ZERO,F1QFG2;F1QSX9;Q802U9,ZERO,O95340;Q6IAX6,ZERO,Q02196,ZERO,Q9P7G9,ZERO,
KOG1735,6,1,O49606;Q9ZSK3;Q39250;Q9ZSK4;Q39251;Q9LQ81;Q570Y6;Q67ZM4;Q8LFH6;Q9ZSK2;Q9ZNT3;Q9LZT3,ZERO,NONE,NONE,P45594;Q9VWR1,P45594,Q6NZW3;Q6TH32;Q7ZWD8,ZERO,V9HWI5;V9HWA6;Q549N0,ZERO,Q03048,ZERO,P78929,ZERO,
KOG4163,6,1,Q9FYR6;Q9LEV2;Q9M1R2,Q9FYR6,NONE,NONE,P28668,ZERO,F1QP23,ZERO,P07814,ZERO,P38708,ZERO,O60155,ZERO,
KOG0857,6,1,Q93W22;Q93VT9;Q2HIH6,ZERO,NONE,NONE,O61231,ZERO,Q7ZV96,ZERO,Q96L21;X5D2T3,Q96L21,P41805,ZERO,Q09127;Q9P769,ZERO,
KOG0524,6,1,O64688;Q38799;Q9C6Z3,O64688,NONE,NONE,Q8IGJ4,ZERO,Q7T368,ZERO,P11177,ZERO,P32473,ZERO,Q09171,ZERO,
KOG3284,6,1,Q9S9T7;O65421,ZERO,NONE,NONE,Q9V359,Q9V359,Q6PH25,ZERO,Q9UK41,ZERO,Q02767,ZERO,O13872,ZERO,
KOG0419,6,3,P42745;P25865;P42746,P42745;P25865,NONE,NONE,P25153,ZERO,Q789K9;Q803M4;Q6DGE1,ZERO,P49459;P63146;Q5VVX9,P49459;P63146,P06104,P06104,P23566,ZERO,
KOG1636,6,2,Q9M7Q7;Q9ZW35,ZERO,NONE,NONE,P17917;Q9VIT0,P17917,Q9PTP1,ZERO,P12004,ZERO,P15873,P15873,Q03392,ZERO,
KOG1628,6,1,Q42262;Q9CAV0,ZERO,NONE,NONE,P55830,P55830,Q6PBY1,ZERO,P61247,ZERO,P23248;P33442,ZERO,O94438;Q09781,ZERO,
KOG1390,6,1,Q9FIK7;Q8S4Y1,Q8S4Y1,NONE,NONE,Q9W3N9;Q8SXL6,ZERO,Q6AZA0,ZERO,P24752,ZERO,P41338,ZERO,Q9UQW6,ZERO,
KOG1564,6,4,Q9FKM5,Q9FKM5,NONE,NONE,Q8SZF1,ZERO,Q5TZD9,Q5TZD9,Q53XC8,ZERO,P25301,P25301,Q9UUL2,Q9UUL2,
KOG0478,6,1,Q0WVF5,ZERO,NONE,NONE,Q26454,ZERO,Q6NZV2,ZERO,P33991,ZERO,P30665,ZERO,P29458,P29458,
KOG3151,6,1,Q9SGW3;Q9FHY0,Q9SGW3,NONE,NONE,Q9V436;Q9VUJ4,ZERO,Q6IQH4,ZERO,V9HW09,ZERO,P32496,ZERO,P50524,ZERO,
KOG0096,6,2,P41916;P41917;Q9FLQ3;Q8H156,ZERO,NONE,NONE,Q9VZ23;Q9VUN3,Q9VZ23,P79735,ZERO,P62826,P62826,P32835;P32836,ZERO,P28748,ZERO,
KOG2218,6,1,Q8GXP1;Q9STU3,ZERO,NONE,NONE,Q9VS46,Q9VS46,Q5RGZ9,ZERO,Q6NUQ1,ZERO,P33891,ZERO,Q9C0W8,ZERO,
KOG2884,6,1,P55034,P55034,NONE,NONE,P55035,ZERO,Q6IQC6;Q561Y1,ZERO,P55036,ZERO,P38886,ZERO,O94444,ZERO,
KOG0358,6,1,Q9LV21,ZERO,NONE,NONE,Q9VK69,ZERO,Q6PH46,ZERO,P50991,P50991,P39078,ZERO,P50999,ZERO,
KOG2340,6,1,Q8H1E7,Q8H1E7,NONE,NONE,Q9W1G1,ZERO,Q6PEH4,ZERO,Q68CQ4,ZERO,P40498,ZERO,O74974,ZERO,
KOG0964,6,3,Q56YN8,Q56YN8,NONE,NONE,Q9VXE9,ZERO,Q1LVV8,ZERO,Q9UQE7,Q9UQE7,P47037,P47037,O42649,ZERO,
KOG2712,6,1,Q0WP62;Q0WS63;Q9FY90,ZERO,NONE,NONE,Q9VLR5,ZERO,Q504B1;Q6DGP6,ZERO,Q6IBA2,ZERO,P54000,P54000,P87294,ZERO,
KOG2048,6,1,Q1G322;Q8VYS4;Q8RXU6,Q8RXU6,NONE,NONE,Q8T021,ZERO,Q6P125,ZERO,Q969X6,ZERO,Q06679,ZERO,O60161,ZERO,
KOG3341,6,1,Q5M759,ZERO,NONE,NONE,Q9VD72,ZERO,Q5U3V9,ZERO,Q96H20,ZERO,Q12483,ZERO,O94663,O94663,
KOG2817,6,1,Q9T075;Q9ZQ45;Q9LXC7,ZERO,NONE,NONE,Q9W2N5,ZERO,Q6PBS0,ZERO,Q9H871;Q96G75,ZERO,Q12508,Q12508,O59668,ZERO,
KOG1448,6,1,Q680A5;Q42583;Q93Z66;Q42581;O64888,ZERO,NONE,NONE,Q9VT33,ZERO,Q08CA5;Q4KME9,ZERO,A0A0B4J207;P11908;P60891,A0A0B4J207,Q12265;P32895;P38620;P38689,ZERO,P41831;O94413;P87171,ZERO,
KOG0206,6,2,NONE,NONE,H2KZ37;O18182;Q9TXV2,H2KZ37,Q7KTG5;A0A0B4LH79,ZERO,F1QME5;F1QJE6;F1Q8Z3;F1RBQ4;F8W2B0;E7F9A5;E7FFI1;F1QYR2;F1QFE1,ZERO,Q8NB49;Q8TF62;Q9Y2G3;P98198;O60312;O94823;Q9P241,ZERO,A0A023PXH;P32660;Q12675,P32660;Q12675,Q09891;O36028;Q9UT43,ZERO,
KOG1704,6,1,NONE,NONE,G5EF39;H2KYA1,H2KYA1,A1Z6W3;A0A0B4KED7,ZERO,B8JMK6;F1Q6J9;F2Z4V3;F6NN15;E7FA77;F1REQ6;A5WUZ4;F1Q568;F1QI22;F1QNJ3;B0UYM8;F1QRL5,ZERO,A0A024QYW5;A0A024R0W7;A0A024R368;A0A0A0MRT7;A0A0A0MTE2;O15231;Q5TD97;Q13643;Q2TBC4,ZERO,NONE,NONE,NONE,NONE,
KOG1453,6,2,NONE,NONE,F0IWT2;O01585;Q965S4;Q965N4,O01585;Q965S4,Q9W4A9,ZERO,B0UYG6;E7EZG2;E7F3F0;E7F3K5;E7FFP7;E9QD01;F1QMV5;F1R848;H9GY16,ZERO,B2RTY4;P15882;P52757;Q92619;Q52LW3;Q13459,ZERO,Q06407;P39083,P39083,O74360;O14014,ZERO,
KOG0395,6,4,NONE,NONE,A4UZ34;Q18246;Q9TZE3;Q18957;O17599;P22981;O02139;A7YKU9;A4UZ35;O01312;B5BM29;P34443;P90840;G5EBK8;H2L0Q6,Q18246;P22981;P34443;G5EBK8;H2L0Q6,A0A0B4LGJ4;Q9VH66;P08646;Q9VM20;Q9VND8;Q9VRY2;Q2PE29;P08645;A1Z6R7;Q8MT34;Q9W5G7;Q9VNB7;P04388;A0A0B4LFV4;D0IQG6;Q9VS10;Q962I2,P08646;P08645,Q4V9D8;Q7T393;Q6PHV8;F1R7U7;Q7SY56;E7F5A7;B3DJU3;Q568M0;Q5U3A3;F1RBX6;Q6IQP4;F1R339;Q7T383;F1RAB1;Q503D0;F1R684;Q6DC92;Q7SZ59;F1QSQ6;E7F4E0;Z4YIG5;A1DZY4;Q6P0U3;E7F144;Q5RHY9;B0R088;Q6AZA4;Q5XWT8;E7F686;F1R999;Q7SY59;Q1LV74;Q2LIW9;Q0P4E7;Q6DGD1;Q503B6;Q7ZVA2;Q7ZUL8;E7FBI4;F1QWY4;A2CE86;B0R168;Q08CD8;B8JIV0,ZERO,A0A024QZF2;A0A024R1C8;A0A024R5Y3;A0A024R6X0;A0A024R9F5;A0A024RAG3;A0A024RAT4;A0A024RB87;A0A090N900;A8KAH9;L7RSL8;O75628;O95057;O95661;P10114;P11233;P61225;P62070;Q9BU20;Q9Y3L5;Q6T310;Q9BPW5;Q8IYK8;Q92963;Q9H628;Q96HU8;Q96D21;Q8TAI7;Q6FGP0;Q7Z444;Q9Y272;X5D945;Q5U091;Q99578,ZERO,P01120;P13856;P25378;P01119,P01120;P13856,O94363;P08647,P08647,
KOG2684,6,1,NONE,NONE,Q21921,ZERO,Q9VK34,ZERO,E7F8W3;Q6DHI5;E7F8P2,ZERO,A0A024QZQ1;Q7Z3A0,A0A024QZQ1,P53687;P53688;P53685;P06700,ZERO,Q9UR39;O94640,ZERO,
KOG0575,6,4,NONE,NONE,P34331,P34331,P52304;O97143,P52304;O97143,E7EXD4;A8WHV5;B0S6K2;Q6DRK7;F1RB74,ZERO,A0A024QZV1;Q9H4B4;O00444;Q496M5;P53350,O00444;P53350,Q8TGS9,ZERO,P50528,P50528,
KOG3194,6,2,NONE,NONE,G5EC44,G5EC44,Q9VQD4,ZERO,Q6P2T4,ZERO,A0A024R045,ZERO,P48581,P48581,P22193,ZERO,
KOG0578,6,2,NONE,NONE,G5EGQ3;G5EFU0,G5EGQ3,Q9VXE5;Q9VEV1,ZERO,F1QCY7;E7FE80;F1Q7T1;E7F3S0;F1QZR2;A5PEY8;Q6DG42;E7F3I9,ZERO,A0A024R0J1;A0A024R9Q4;O75914;Q13153;Q13177;Q9P286,ZERO,P48562;Q12469;Q03497,Q03497,Q10056;P50527;Q10447,ZERO,
KOG0303,6,1,NONE,NONE,Q21624,Q21624,A0A0B4KEJ7,ZERO,F1QR96;F8W415;F1QDY7;Q7SX58;E7F977;F1R3S3;B0R0D7;F1Q728;E7FGQ1,ZERO,A0A024R150;A0A024R5K1;A0A024R611;A0A024RBI5;Q6QEF8;Q9UQ03,ZERO,Q06440,ZERO,O13923,ZERO,
KOG3772,6,2,NONE,NONE,Q21762;O44628,O44628,P20483;M9PBC2,ZERO,B8A5N7;B8A4H7,ZERO,A0A024R2S4;P30305;P30307,P30305;P30307,P42937;Q06597;P23748,ZERO,P06652,ZERO,
KOG0694,6,1,NONE,NONE,P34722;G4S4W1;O44588;O44590;O45720;G5EGE3;P90980;Q8MYQ1,P34722,M9NFD4;A0A0B4LFX2;P13678;P05130,ZERO,Q7ZUC5;E7F4L5;E7FES4;F1QJU6;E7F368;F1R506;F1QXD6;F1R444;F6NV75;I3ITI6;E7F7I3;Q5TZD4;B1H1I7;F1Q8P4;B8A467;Q7SY24;H9GXZ3,ZERO,A0A024R328;A0A024R8D6;E9PMD0;H0YJX3;L7N484;L7RSM7;L7RTI5;P05129;P05771;P24723;Q04759;Q16512;Q16513,ZERO,P24583,ZERO,P36583;P36582,ZERO,
KOG0586,6,2,NONE,NONE,Q21138;Q21017;Q9U1Z0;O45370;Q9TW45;Q95ZQ4,Q21017;Q9TW45;Q95ZQ4,Q5U118;E1JGN0;Q9W532;Q3YNC4;Q9VGQ0;A0A0B4LFW1,ZERO,E7F378;A5WUM0;E7FFX4;F1Q5N2;E7FA16;F6P5S7;B0S6K0;E9QEM6;E7FCH9;E7FBX4;A5PN50;F1QJ74;E7F9B6;E7F9C4;E7F0G7,ZERO,A0A024R3G7;A0A0A0MT23;P57059;Q13131;Q9P0L2;Q96L34;Q7KZI7;P54646,ZERO,P13186;P13185;P28708;P06782,P28708,O74536;P22987;O74815,ZERO,
KOG3780,6,1,NONE,NONE,Q9XXI0;Q23672;Q23676;Q23674;O45782;O17982;O17984;O17981;O17983;O76685;Q9XXC4;O76684;D1MN74;O62274;Q9GYT5;O44847;P91469;Q9XXI4;O17812;P30647;Q22321;Q20577;G5ECC2,ZERO,Q8SYU5;Q9VI53;Q9VGU4;Q9VGU7;Q9VHZ9;Q8SX28;Q9I7L0;A0A0B4KGD9;Q9VHZ8;Q9I7L1;A8JQV1;Q9VI00;Q8SYW4;Q9I7K7,ZERO,Q7ZWB6;E7F1B2;Q6ZM71;Q66L50;E7F058;Q1ECU3;Q567Z4;A2BIP7;F1QAH2;A2CEJ4;F1RB15,ZERO,A0A024R4B7;A0A024R7K1;A0A024RC80;A6NEK1;Q8N5I2;Q96B67,ZERO,P38167;Q12734;P36117;P53244;P47029;P43602;Q02805,P43602;Q02805,Q09729;Q8WZK5;O74798;Q09889,ZERO,
